t,ch1,ch1_marked,ch1_ai_marked
168.126,0.40132,0.0,1.4777679098187946e-06
168.127,0.36809,0.0,3.455820376530028e-07
168.128,0.38342,0.0,3.951784037781181e-06
168.129,0.38854,0.0,1.5621010334143648e-06
168.13,0.38087,0.0,2.053928074019496e-05
168.131,0.38854,0.0,1.2337502994341776e-05
168.132,0.3732,0.0,2.7701432827598182e-06
168.133,0.39876,0.0,1.0637553486958495e-06
168.134,0.37575,0.0,2.651451325164089e-07
168.135,0.37831,0.0,5.16992088250845e-07
168.136,0.37831,0.0,2.773762162178173e-07
168.137,0.40387,0.0,6.459949872805737e-06
168.138,0.37831,0.0,1.008422714221524e-05
168.139,0.3732,0.0,4.290372089599259e-06
168.14,0.38087,0.0,3.6299918519944185e-06
168.141,0.37831,0.0,1.3493446431311895e-06
168.142,0.38087,0.0,4.025208454550011e-06
168.143,0.38342,0.0,5.689819886356418e-07
168.144,0.38598,0.0,2.28648423217237e-05
168.145,0.38342,0.0,2.4917426344472915e-06
168.146,0.37064,0.0,3.110137640760513e-06
168.147,0.37575,0.0,9.484875590715092e-06
168.148,0.38087,0.0,4.162011464359239e-05
168.149,0.37064,0.0,0.0001106724739656
168.15,0.37831,0.0,6.152222340460867e-05
168.151,0.36553,0.0,6.852805381640792e-05
168.152,0.38342,0.0,0.0002733312721829
168.153,0.36042,0.0,2.106204738083761e-05
168.154,0.38598,0.0,0.003943973686546
168.155,0.36809,0.0,0.0001943713577929
168.156,0.36553,0.0,0.0210269559174776
168.157,0.37575,0.0,0.0149416662752628
168.158,0.38087,0.0,0.00139720516745
168.159,0.38342,0.0,0.0016683911671862
168.16,0.38087,0.0,0.0015475589316338
168.161,0.37064,0.0,0.0058513642288744
168.162,0.38598,0.0,0.0043190983124077
168.163,0.36553,0.0,0.0295124016702175
168.164,0.36042,0.0,0.0567237846553325
168.165,0.37064,0.0,0.0060527296736836
168.166,0.37831,0.0,0.0015025780303403
168.167,0.36297,0.0,0.0025274506770074
168.168,0.3732,0.0,0.0044002649374306
168.169,0.3732,0.0,0.0005986901815049
168.17,0.37064,0.0,0.0131900031119585
168.171,0.36553,0.0,0.0123680308461189
168.172,0.37575,0.0,0.0170752611011266
168.173,0.36809,0.0,0.0215670559555292
168.174,0.36553,0.0,0.0053684446029365
168.175,0.36553,0.0,0.0007531439769081
168.176,0.36809,0.0,0.0006043668254278
168.177,0.35019,0.0,7.221376290544868e-05
168.178,0.35786,0.0,1.9795030311797746e-05
168.179,0.36553,0.0,9.657580812927336e-05
168.18,0.38087,0.0,1.0221540378552163e-06
168.181,0.37831,0.0,1.3140930832378217e-07
168.182,0.35786,0.0,2.955508477953117e-07
168.183,0.35275,0.0,2.716801873248187e-06
168.184,0.35531,0.0,7.849644134694245e-06
168.185,0.3732,0.0,9.407636753167026e-06
168.186,0.35531,0.0,2.630094240885228e-05
168.187,0.34764,0.0,1.359144243906485e-05
168.188,0.36042,0.0,1.894406409519433e-07
168.189,0.36553,0.0,2.6876173819800897e-07
168.19,0.36042,0.0,9.415729351758273e-08
168.191,0.36042,0.0,1.7243284133883208e-08
168.192,0.35786,0.0,2.156860468005561e-08
168.193,0.34764,0.0,1.6664253976728105e-08
168.194,0.36809,0.0,8.252886374293666e-08
168.195,0.36809,0.0,2.1153082840896783e-08
168.196,0.36553,0.0,1.2679087779687848e-09
168.197,0.35275,0.0,2.8659274953213303e-09
168.198,0.33741,0.0,9.830803532340228e-11
168.199,0.35531,0.0,9.486542801306895e-11
168.2,0.35019,0.0,1.3457916725467809e-10
168.201,0.36042,0.0,1.2874128152429162e-10
168.202,0.35275,0.0,1.175408936848754e-10
168.203,0.35019,0.0,3.0820351826221776e-10
168.204,0.34252,0.0,3.6988578866470334e-10
168.205,0.34764,0.0,4.732942371354909e-10
168.206,0.34508,0.0,1.601389576499912e-10
168.207,0.37831,0.0,7.164356607969323e-11
